"participation","income","age","education","youngkids","oldkids","foreign"
"no",10.787497,3,8,1,1,"no"
"yes",10.524251,4.5,8,0,1,"no"
"no",10.968578,4.6,9,0,0,"no"
"no",11.104999,3.1,11,2,0,"no"
"no",11.10847,4.4,12,0,2,"no"
"yes",11.028254,4.2,12,0,1,"no"
"no",11.454707,5.1,8,0,0,"no"
"yes",10.490918,3.2,8,0,2,"no"
"no",10.62474,3.9,12,0,0,"no"
"no",10.48642,4.3,11,0,2,"no"
"no",10.660618,4.5,11,0,2,"no"
"no",10.467589,6,12,0,0,"no"
"no",11.229592,3.3,11,2,0,"no"
"no",11.906462,5.6,14,0,0,"no"
"no",11.501562,5.6,11,0,0,"no"
"no",11.293492,4.7,11,0,1,"no"
"no",10.861253,5,8,0,0,"no"
"yes",11.844049,3.9,12,0,0,"no"
"no",11.048627,4.7,8,0,1,"no"
"yes",10.957795,5.3,11,0,0,"no"
"no",10.860134,2.9,19,0,0,"no"
"yes",11.108121,4.6,11,0,1,"no"
"no",10.84862,4.4,8,0,2,"no"
"no",10.482397,2,12,1,0,"no"
"yes",10.48404,5.4,8,0,0,"no"
"yes",10.601204,4.7,8,0,0,"no"
"no",10.540632,2.8,9,2,0,"no"
"no",11.224276,4.7,8,0,1,"no"
"yes",10.841085,4.9,12,0,0,"no"
"no",10.566288,3,11,0,1,"no"
"no",11.769593,5.1,11,0,0,"no"
"no",10.667089,2.8,11,0,2,"no"
"no",10.624627,5.4,11,0,0,"no"
"no",10.537148,4.9,8,0,0,"no"
"no",11.135636,5.3,10,0,0,"no"
"no",10.315332,5.5,8,0,0,"no"
"no",10.372655,2.4,11,1,0,"no"
"no",11.507138,5,8,0,1,"no"
"yes",11.156561,3.6,13,0,2,"no"
"no",10.452933,2.3,9,1,0,"no"
"yes",11.106286,4.1,12,0,2,"no"
"no",10.657185,2.3,10,0,1,"no"
"no",10.518618,3.8,10,0,2,"no"
"no",10.699437,5.3,12,0,0,"no"
"no",9.668874,4.5,12,0,1,"no"
"no",10.922165,3.7,12,0,2,"no"
"no",11.249361,3.6,15,2,0,"no"
"no",10.051168,4.6,12,0,0,"no"
"no",10.621104,3.1,10,1,1,"no"
"yes",10.644639,4.2,10,0,2,"no"
"no",10.419983,2.2,10,1,0,"no"
"yes",10.466988,3.2,8,0,1,"no"
"yes",10.478207,3.4,9,0,2,"no"
"yes",10.435452,4.4,9,0,1,"no"
"yes",10.427258,5.8,12,0,0,"no"
"yes",10.471779,4.4,9,0,2,"no"
"no",11.138516,5.5,9,0,0,"no"
"no",10.31886,2.3,11,2,0,"no"
"no",10.305638,6,15,0,0,"no"
"no",10.864139,5,10,0,2,"no"
"no",10.465655,5.9,9,0,0,"no"
"no",10.2239,3.5,9,0,2,"no"
"no",12.019113,6.1,13,0,0,"no"
"yes",11.411158,4,13,0,2,"no"
"no",10.51476,2.4,11,1,0,"no"
"yes",10.493266,3.5,4,0,2,"no"
"yes",10.71857,3.1,10,1,1,"no"
"no",11.33689,6.1,12,0,0,"no"
"yes",10.814724,5.5,10,0,1,"no"
"no",10.316425,2,9,1,0,"no"
"no",11.096651,3.1,15,1,0,"no"
"yes",10.47289,3.5,9,0,2,"no"
"no",10.588166,5.5,8,0,0,"no"
"no",11.584711,3.5,11,1,2,"no"
"no",10.618983,4.4,17,0,4,"no"
"yes",10.517572,5.6,9,0,0,"no"
"no",10.825584,3.4,10,0,2,"no"
"yes",10.909947,4.3,8,0,0,"no"
"yes",10.363575,2.4,12,0,0,"no"
"yes",9.646148,5.4,8,0,0,"no"
"no",10.157078,3.4,8,0,4,"no"
"yes",10.279822,5.2,7,0,2,"no"
"no",10.571089,3.4,8,1,3,"no"
"no",10.763515,2.1,9,2,0,"no"
"yes",10.540896,3.4,10,0,0,"no"
"no",10.654575,2.2,9,1,0,"no"
"no",10.852278,3.6,8,0,3,"no"
"no",10.28561,3.2,10,1,3,"no"
"no",11.338939,4.4,13,0,4,"no"
"yes",11.235833,4.9,12,0,2,"no"
"no",10.471702,4.9,14,0,2,"no"
"no",10.787214,4.5,10,0,3,"no"
"no",10.599964,2.8,10,1,1,"no"
"no",10.280773,3.6,8,0,3,"no"
"no",10.840751,5,8,0,2,"no"
"no",11.052507,4.8,8,0,5,"no"
"no",10.65334,4.5,7,0,2,"no"
"no",10.338464,6.2,7,0,0,"no"
"no",10.708192,3.3,12,2,0,"no"
"yes",10.348194,4.8,8,0,0,"no"
"yes",11.021232,3.8,10,0,3,"no"
"yes",10.605906,4.6,7,0,1,"no"
"yes",10.649509,3.8,10,0,1,"no"
"yes",10.386903,5.6,7,0,0,"no"
"yes",10.741169,3.9,13,0,3,"no"
"no",10.541059,2.8,10,2,0,"no"
"no",11.081039,4.6,10,0,3,"no"
"yes",10.771101,2.7,10,0,0,"no"
"no",12.285946,5.8,12,0,0,"no"
"no",10.778364,2.7,12,2,0,"no"
"no",10.669682,5.2,10,0,0,"no"
"yes",10.784824,3.1,9,0,3,"no"
"yes",11.269807,3.5,11,0,2,"no"
"yes",11.34666,3.4,12,0,1,"no"
"yes",10.825946,5.7,4,0,0,"no"
"no",11.013918,4.4,10,0,2,"no"
"no",9.574635,5.6,7,0,1,"no"
"yes",10.528624,3.4,4,0,3,"no"
"yes",10.741468,2.7,16,1,0,"no"
"no",10.75483,4.4,9,0,3,"no"
"yes",10.830751,3.3,12,2,0,"no"
"no",10.490775,5.2,9,0,2,"no"
"no",10.363387,2.6,8,1,0,"no"
"no",10.812684,2.8,9,0,2,"no"
"no",10.763303,4.6,8,2,1,"no"
"yes",10.700171,4.2,9,0,2,"no"
"no",10.446508,2.4,6,1,0,"no"
"yes",10.449971,2.1,8,0,0,"no"
"no",10.663366,5.8,4,0,0,"no"
"yes",10.925736,4.7,8,0,4,"no"
"no",10.865444,3.7,8,0,2,"no"
"yes",11.41671,3.1,11,1,0,"no"
"yes",10.819836,5.7,8,0,0,"no"
"yes",10.963413,3.8,9,0,2,"no"
"no",9.263988,2.2,13,1,0,"no"
"yes",10.74062,4,8,0,2,"no"
"no",11.329038,4,11,0,1,"no"
"yes",11.175732,3.5,9,0,2,"no"
"no",11.1317,3.7,9,0,2,"no"
"yes",10.666515,5.4,12,0,0,"no"
"no",11.086339,5.2,10,0,0,"no"
"yes",10.569454,3.1,11,0,2,"no"
"no",11.03635,4.6,10,0,2,"no"
"no",10.740618,4.4,6,1,1,"no"
"no",10.620524,2.5,10,1,0,"no"
"no",10.871253,2.7,9,1,0,"no"
"yes",10.664763,4.5,9,0,1,"no"
"no",11.86487,3.1,15,0,2,"no"
"yes",10.639207,3.1,13,0,2,"no"
"yes",10.665111,3.4,14,0,2,"no"
"yes",10.937405,3.7,11,0,2,"no"
"yes",11.115698,5.1,8,0,0,"no"
"no",10.392553,5.2,9,0,0,"no"
"no",10.916087,3.4,8,0,2,"no"
"yes",10.530598,4.5,11,0,2,"no"
"yes",11.049862,2.6,14,1,0,"no"
"no",10.961591,4,9,0,1,"no"
"no",10.782629,4.4,10,0,2,"no"
"no",10.893155,2.8,13,2,0,"no"
"no",10.637464,4.1,8,1,3,"no"
"no",10.804152,5.8,10,0,0,"no"
"no",10.881099,3.5,10,0,1,"no"
"no",11.995501,5.6,12,0,0,"no"
"yes",11.216231,4,13,0,4,"no"
"no",10.510004,3.4,9,1,1,"no"
"no",10.459609,2.9,14,1,1,"no"
"yes",10.763969,3.7,13,0,2,"no"
"yes",10.755772,2.6,12,0,0,"no"
"no",10.689363,4.3,8,0,3,"no"
"yes",11.065612,3.8,9,0,3,"no"
"yes",10.693192,4.7,8,0,1,"no"
"no",10.604953,5.3,8,0,3,"no"
"no",10.401214,5.4,8,0,0,"no"
"no",10.61778,3.9,11,2,0,"no"
"yes",10.833661,3.4,10,0,0,"no"
"no",10.02621,5.4,8,0,1,"no"
"no",10.746228,3.1,9,2,0,"no"
"no",10.933002,3.5,8,0,4,"no"
"yes",10.84025,3.7,12,1,1,"no"
"no",10.714731,4,8,0,2,"no"
"no",10.612391,2.4,8,2,0,"no"
"no",11.07683,3.3,12,1,0,"no"
"yes",11.128016,4.9,9,0,3,"no"
"no",10.522886,3,12,0,2,"no"
"no",10.659896,6.1,9,0,0,"no"
"no",11.733083,3.2,13,2,1,"no"
"no",10.91997,3.9,8,0,5,"no"
"no",10.514121,4,8,0,2,"no"
"no",11.069464,2.7,10,0,2,"no"
"no",10.619196,2,9,1,0,"no"
"no",10.562078,4.3,11,0,2,"no"
"yes",10.905702,3.2,13,1,1,"no"
"no",10.95099,3.4,11,0,2,"no"
"yes",10.50612,4.6,8,0,2,"no"
"no",11.047871,4.4,5,0,1,"no"
"no",10.574165,3.6,8,0,3,"no"
"yes",11.193011,4.5,12,0,2,"no"
"no",10.984266,3.3,12,1,0,"no"
"no",11.334915,5.5,4,0,0,"no"
"no",10.851937,3.6,12,0,2,"no"
"yes",10.404555,3.7,8,0,0,"no"
"no",10.988086,3.9,11,0,2,"no"
"no",10.864314,5.3,8,0,0,"no"
"no",10.523238,2.2,9,1,0,"no"
"no",10.820928,3.3,12,0,2,"no"
"yes",10.162354,4,10,0,0,"no"
"no",11.198758,5.7,12,0,0,"no"
"no",11.225668,2.9,10,1,2,"no"
"yes",10.893887,4.7,8,0,0,"no"
"yes",10.641333,4.1,10,0,0,"no"
"no",10.850221,4.1,8,0,2,"no"
"yes",10.660521,3.1,12,0,0,"no"
"no",11.349021,4.3,12,0,1,"no"
"no",11.242483,5.1,8,0,1,"no"
"yes",11.159617,3.6,10,0,2,"no"
"yes",10.911874,3.9,10,0,1,"no"
"yes",10.507997,3,8,0,2,"no"
"no",10.975945,3,21,2,0,"no"
"no",10.368614,2.4,2,0,0,"no"
"no",10.567141,4.9,8,0,1,"no"
"no",10.445417,4.9,9,0,0,"no"
"no",10.518592,3,8,0,2,"no"
"yes",10.700863,4,9,0,4,"no"
"no",10.596668,4.4,6,0,0,"no"
"no",11.197492,2.9,13,1,1,"no"
"no",10.939767,2.8,13,1,0,"no"
"yes",10.557954,4.3,10,0,1,"no"
"no",10.75464,2.9,10,2,2,"no"
"yes",10.464695,4.4,7,1,1,"no"
"no",10.954447,4.2,12,0,3,"no"
"yes",10.800645,4.5,8,0,6,"no"
"no",9.774489,5.7,8,0,1,"no"
"no",11.043071,5.1,8,0,0,"no"
"yes",10.949314,4.4,11,0,1,"no"
"no",10.015288,5.5,7,0,2,"no"
"no",11.499515,5.5,14,0,0,"no"
"yes",10.606732,4.8,10,0,1,"no"
"no",10.647289,4.5,9,0,3,"no"
"no",10.513616,5.4,11,0,0,"no"
"no",11.226845,5.6,12,0,0,"no"
"yes",10.698781,3.3,13,2,0,"no"
"no",10.873052,4,10,0,3,"no"
"no",10.518034,5.4,7,0,2,"no"
"no",10.398972,5.6,4,0,0,"no"
"no",11.12097,4,9,0,2,"no"
"yes",10.160162,4.2,8,0,3,"no"
"no",11.189876,5,14,0,1,"no"
"yes",10.580379,4.9,9,0,0,"no"
"no",10.807338,5.8,8,0,0,"no"
"yes",9.761367,5.8,8,0,0,"no"
"no",10.67489,5.7,4,0,0,"no"
"no",10.688645,5.4,4,0,0,"no"
"no",10.185521,5.9,8,0,0,"no"
"yes",11.672285,5.1,18,0,1,"no"
"no",10.795038,2.6,12,1,0,"no"
"yes",10.972098,4.3,10,0,2,"no"
"no",10.556449,3.8,9,0,2,"no"
"yes",10.704404,3.9,8,0,2,"no"
"yes",10.428636,5.3,9,0,0,"no"
"no",11.051191,3.8,10,0,1,"no"
"yes",10.851682,4.8,7,0,0,"no"
"yes",10.482903,4.1,9,0,0,"no"
"no",10.788455,5.5,12,0,0,"no"
"no",10.535781,3,13,1,0,"no"
"yes",10.131345,5.8,8,0,0,"no"
"no",10.413317,2.8,8,2,0,"no"
"yes",10.550204,3.6,15,0,0,"no"
"no",10.678824,5,4,0,1,"no"
"no",10.845567,2.7,10,1,1,"no"
"yes",10.326767,5.5,8,0,0,"no"
"no",10.756853,2.8,12,1,0,"no"
"yes",10.687163,4.5,8,0,2,"no"
"yes",10.69541,3.9,4,0,0,"no"
"yes",10.447811,3,9,0,1,"no"
"yes",11.010256,5.3,8,0,0,"no"
"no",10.704237,2.3,10,2,0,"no"
"no",10.913541,5.8,13,0,0,"no"
"no",10.23621,4.4,9,0,1,"no"
"no",11.76194,5.2,9,0,1,"no"
"no",10.485152,2.4,12,1,0,"no"
"yes",11.147722,4.8,9,0,0,"no"
"no",11.153504,3.8,11,0,2,"no"
"no",10.645516,5.6,11,0,0,"no"
"yes",10.777797,5,8,0,0,"no"
"yes",10.986342,4.3,14,0,3,"no"
"no",10.628565,2.8,10,0,2,"no"
"no",10.916267,5.6,12,0,0,"no"
"yes",10.702699,3.6,12,0,2,"no"
"no",10.952528,4.7,11,0,1,"no"
"yes",10.382414,3.7,11,0,0,"no"
"no",10.698292,4.6,11,0,0,"no"
"no",11.051727,5.7,9,0,0,"no"
"no",10.656841,3.3,10,0,2,"no"
"no",10.554549,4.7,8,0,2,"no"
"no",11.692279,4.5,14,0,2,"no"
"yes",11.472848,4.2,13,0,3,"no"
"no",11.656427,3.3,11,2,2,"no"
"yes",10.696645,4.5,12,0,2,"no"
"yes",10.839479,3.9,9,0,1,"no"
"yes",10.795194,3.3,10,0,3,"no"
"yes",10.379617,2.9,4,1,1,"no"
"yes",10.886384,4.4,13,0,2,"no"
"no",11.363417,3.3,15,0,3,"no"
"no",11.132031,2.6,11,1,0,"no"
"yes",10.899869,3.2,12,0,0,"no"
"no",11.160232,2.9,12,1,2,"no"
"yes",10.058137,6,9,0,0,"no"
"yes",10.73593,3.9,11,0,2,"no"
"yes",9.680395,4.7,9,0,0,"no"
"no",11.150011,3.4,8,0,3,"no"
"yes",7.186901,5.7,12,0,0,"no"
"no",10.762847,3.3,12,0,2,"no"
"no",10.641994,5.6,8,0,0,"no"
"yes",10.821105,5.5,9,0,0,"no"
"no",11.697144,3.7,13,0,3,"no"
"yes",10.867016,5.4,8,0,0,"no"
"yes",11.597597,3.3,14,1,2,"no"
"no",11.34655,5.2,4,0,1,"no"
"yes",10.440166,2.5,13,0,0,"no"
"yes",10.786756,4.7,8,0,1,"no"
"no",10.693526,4.2,9,0,2,"no"
"no",10.639603,3.1,12,0,2,"no"
"no",10.391253,3,11,1,0,"no"
"no",11.094102,5.8,4,0,0,"no"
"yes",9.952297,5.7,15,0,0,"no"
"no",10.881145,6,8,0,0,"no"
"yes",10.945509,4.4,11,0,1,"no"
"no",10.723123,2.6,8,1,2,"no"
"yes",10.778036,5.9,12,0,0,"no"
"no",10.410974,2.1,12,1,0,"no"
"yes",10.331526,5,9,0,0,"no"
"no",11.038619,4.5,9,0,0,"no"
"no",10.427884,4.4,8,0,1,"no"
"no",9.903508,2.4,8,1,0,"no"
"no",10.415019,3.1,10,0,1,"no"
"no",11.552967,4.7,7,0,1,"no"
"no",10.726891,4.9,7,0,1,"no"
"yes",10.719912,4.5,3,0,4,"no"
"yes",10.635413,3.6,9,0,3,"no"
"yes",10.607927,4.3,8,0,1,"no"
"yes",10.89815,5.7,8,0,0,"no"
"no",10.564245,2.8,10,0,1,"no"
"no",11.0089,4.3,12,1,0,"no"
"no",10.966264,5.7,11,0,1,"no"
"no",11.094889,5.1,8,0,0,"no"
"no",10.949635,2.7,12,1,0,"no"
"no",11.142022,3.2,14,3,0,"no"
"yes",10.955511,3.8,12,0,1,"no"
"no",9.999619,6.1,11,0,0,"no"
"yes",10.883356,3.3,11,2,0,"no"
"yes",10.725962,4.4,11,0,0,"no"
"no",10.379433,4.2,8,0,0,"no"
"yes",10.517781,5.9,8,0,0,"no"
"no",10.960598,3.4,8,0,1,"no"
"no",11.017487,2.6,13,1,1,"no"
"no",10.630611,3.1,11,1,1,"no"
"no",10.879928,4.1,9,0,1,"no"
"no",10.556337,5.6,11,0,0,"no"
"no",10.873372,3.6,12,0,2,"no"
"no",10.974541,4.7,12,0,0,"no"
"no",11.213668,3.8,12,0,3,"no"
"no",10.565516,3.9,9,1,2,"no"
"no",10.757045,5.2,8,0,1,"no"
"yes",10.218074,4.3,4,0,0,"no"
"yes",10.771807,4.9,11,0,0,"no"
"no",10.645901,3.1,16,1,2,"no"
"yes",10.609652,3.8,11,0,2,"no"
"no",10.497103,4.9,4,0,0,"no"
"yes",11.286425,3.6,11,0,2,"no"
"yes",10.713582,2.8,10,1,1,"no"
"no",11.080241,3.1,12,2,0,"no"
"yes",10.765547,3.9,12,0,2,"no"
"no",11.787341,3.8,14,0,2,"no"
"no",11.404879,5.4,13,0,0,"no"
"yes",10.593832,4.5,12,0,1,"no"
"yes",10.56617,2.7,8,0,0,"no"
"yes",11.153773,4.3,9,0,0,"no"
"no",10.644508,6.1,8,0,0,"no"
"yes",10.962912,3,15,1,1,"no"
"yes",10.952085,2.6,10,1,2,"no"
"yes",11.006509,5.1,12,0,0,"no"
"no",10.50368,5.9,9,0,0,"no"
"no",10.522554,5.8,14,0,0,"no"
"yes",10.443773,3.1,11,0,0,"no"
"no",10.363842,5.9,4,0,0,"no"
"no",10.868344,4.1,9,0,1,"no"
"no",10.708355,2.5,10,1,0,"no"
"yes",10.959935,4.5,11,0,4,"no"
"no",10.545824,2.3,12,0,0,"no"
"yes",10.635506,4.2,10,0,2,"no"
"no",10.674844,3.3,8,0,2,"no"
"no",10.600635,4.6,8,0,1,"no"
"no",10.261245,3,4,2,0,"no"
"yes",10.618609,3.6,10,0,4,"no"
"yes",10.084304,2.5,12,0,0,"no"
"yes",11.232703,4.1,12,0,2,"no"
"yes",10.614631,2.1,10,0,0,"no"
"yes",10.891872,3.8,12,0,0,"no"
"no",10.987128,3.4,9,0,3,"no"
"yes",10.901279,5.5,8,0,0,"no"
"no",10.996947,4.3,11,0,2,"no"
"no",10.573843,5.9,8,0,0,"no"
"yes",10.530697,3.8,12,0,2,"no"
"yes",10.750773,4.3,9,0,0,"no"
"yes",10.303822,2.2,8,0,0,"no"
"yes",11.071775,3.6,11,0,2,"no"
"yes",10.933235,2.8,9,0,1,"no"
"no",10.765986,3,9,1,1,"no"
"yes",10.808117,5.1,11,0,0,"no"
"yes",11.130052,4.4,9,0,0,"no"
"yes",10.139643,2,11,0,0,"no"
"yes",10.446164,4.7,12,0,0,"no"
"yes",10.497118,4.1,7,0,0,"no"
"no",10.502569,4.2,8,0,2,"no"
"no",10.813208,3.1,10,0,0,"no"
"yes",10.819643,6.1,4,0,0,"no"
"no",10.965238,3.7,8,0,2,"no"
"no",10.94079,3.8,12,0,2,"no"
"no",10.698575,2.8,12,1,1,"no"
"no",10.557849,2,12,1,0,"no"
"no",10.869824,5.1,8,0,0,"no"
"yes",10.486398,2.1,9,0,0,"no"
"no",10.651588,2.2,12,1,0,"no"
"yes",10.741222,2.6,9,0,0,"no"
"no",10.63413,5.7,9,0,0,"no"
"yes",10.576883,3.4,9,0,2,"no"
"no",11.29929,2.8,12,0,0,"no"
"yes",10.480109,3.2,10,2,0,"no"
"no",10.453177,2.1,14,1,0,"no"
"yes",10.471801,3.8,9,0,1,"no"
"no",9.743722,6.1,4,0,0,"no"
"no",10.639916,4.3,9,0,0,"no"
"no",10.621275,2.8,12,3,1,"no"
"yes",10.842806,2.7,11,1,0,"no"
"no",11.257013,3.4,17,1,0,"no"
"yes",10.245578,4,9,0,6,"no"
"no",10.954252,4.9,9,0,0,"no"
