"wage","hours","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc","lwage"
769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,6.64509105682373
808,50,119,41,18,11,16,37,1,0,0,1,1,NA,14,14,6.69456195831299
825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,6.71538352966309
650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,6.47697257995605
562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,6.33150196075439
1400,40,116,43,16,14,2,35,1,1,0,1,1,2,8,NA,7.24422740936279
600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,6.39692974090576
1081,40,114,50,18,8,14,38,1,0,0,1,2,3,8,NA,6.98564195632935
1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,7.05098962783813
1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,6.90775537490845
930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,6.8351845741272
921,38,102,45,14,9,11,33,1,0,0,0,1,2,16,NA,6.8254599571228
900,45,125,40,15,4,3,30,0,0,0,0,2,NA,12,12,6.80239486694336
1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,7.18387079238892
1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,7.49108743667603
958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,6.8648476600647
1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,7.21524000167847
850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,6.74523639678955
830,44,105,29,14,4,7,29,1,0,0,1,3,1,12,NA,6.72142553329468
471,44,101,34,12,13,7,31,1,0,0,1,3,2,8,NA,6.15485811233521
1275,40,123,37,14,9,1,31,1,0,0,1,0,1,12,NA,7.15070152282715
1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,7.38709020614624
873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,6.77193546295166
2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,7.66715812683105
1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,6.95939874649048
1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,7.37900829315186
1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,7.08002662658691
800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,6.68461179733276
1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,7.25629711151123
635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,6.45362520217896
1000,40,103,40,12,17,2,34,1,0,0,1,1,1,8,NA,6.90775537490845
1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,7.26122522354126
2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,7.88908433914185
666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,6.50128984451294
1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,7.48380661010742
782,40,92,24,13,9,10,31,1,0,0,1,3,3,8,NA,6.66185474395752
1572,35,108,39,14,7,5,28,1,1,0,1,1,NA,12,8,7.36010408401489
1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,7.14991664886475
714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,6.57088279724121
1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,6.98564195632935
692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,6.53958606719971
1318,38,122,47,17,10,9,33,1,0,0,1,1,NA,12,8,7.18387079238892
1239,45,109,44,12,16,4,38,1,0,0,1,3,3,12,NA,7.12205982208252
1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,6.93439722061157
1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,7.46622753143311
981,40,122,41,14,9,15,35,0,0,0,1,3,2,12,NA,6.88857269287109
770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,6.64639043807983
1154,50,94,37,16,11,5,33,1,0,0,1,1,NA,12,12,7.05098962783813
1155,40,102,36,12,16,5,34,1,0,0,1,1,2,12,NA,7.05185556411743
808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,6.69456195831299
1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,7.00306558609009
1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,7.05098962783813
1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,7.46679925918579
1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,6.90775537490845
462,40,112,35,12,11,1,29,1,0,0,1,8,3,12,NA,6.13556480407715
769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,6.64509105682373
875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,6.77422380447388
1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,7.22620916366577
1452,45,115,45,17,1,7,30,1,0,0,1,3,1,12,14,7.28069734573364
800,40,96,33,12,17,12,35,1,0,0,1,1,2,6,8,6.68461179733276
1748,55,123,48,17,10,7,36,1,0,0,1,1,1,12,12,7.46622753143311
1151,40,98,34,12,12,12,29,1,0,0,1,3,4,12,8,7.0483865737915
840,50,96,34,12,18,13,35,1,0,0,1,2,1,12,8,6.73340177536011
978,45,89,47,12,17,2,38,1,0,0,1,0,1,12,NA,6.8855094909668
963,40,109,43,12,15,15,37,0,0,0,0,5,NA,NA,7,6.8700532913208
619,42,93,20,12,10,10,28,0,0,0,1,8,NA,9,11,6.42810535430908
442,60,82,32,12,12,0,33,1,0,0,1,2,3,12,9,6.09131002426147
600,40,120,45,15,12,1,38,1,0,0,0,3,4,12,NA,6.39692974090576
1366,38,122,38,12,15,15,32,1,0,0,1,1,2,12,NA,7.219642162323
1643,48,117,48,18,8,2,33,1,0,0,1,2,2,12,18,7.40427923202515
1455,40,109,44,16,8,13,36,1,0,0,1,1,2,8,8,7.28276109695435
2310,40,114,55,18,12,7,38,1,0,0,1,2,NA,12,16,7.74500274658203
1682,45,126,40,16,10,11,31,1,0,0,1,1,1,12,16,7.42773866653442
1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11,7.11882638931274
855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9,6.75110149383545
1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6,6.97728157043457
1040,40,115,49,15,8,15,35,1,0,0,1,3,4,NA,11,6.94697618484497
1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12,6.90775537490845
675,40,105,27,15,8,2,31,1,0,0,0,3,NA,14,12,6.51471281051636
1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7,7.00306558609009
996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10,6.90374708175659
732,40,73,28,10,17,5,36,1,0,0,1,5,6,NA,NA,6.59578037261963
1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8,7.09007692337036
1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16,7.43484783172607
686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10,6.53087759017944
754,40,104,37,13,9,5,32,1,0,0,1,1,2,8,NA,6.6253924369812
857,35,80,39,10,14,15,33,1,0,0,1,2,1,NA,12,6.75343799591064
832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8,6.72383260726929
579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16,6.36130237579346
672,61,96,38,12,13,3,34,1,0,0,1,2,NA,12,13,6.51025819778442
2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16,7.82404613494873
1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17,6.98100566864014
750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8,6.62007331848145
1186,30,91,41,17,8,9,33,1,0,0,1,1,1,12,14,7.07834148406982
833,48,96,37,16,9,7,31,1,0,0,1,4,4,12,14,6.7250337600708
650,40,69,37,12,14,11,30,1,1,0,1,3,4,10,9,6.47697257995605
1250,46,110,37,12,5,16,38,1,0,0,0,1,1,NA,12,7.13089895248413
1122,48,111,44,15,12,9,31,1,0,0,1,3,1,9,12,7.02286815643311
865,40,110,35,16,1,11,31,1,0,0,1,3,1,9,12,6.76272964477539
808,40,97,37,16,10,7,29,1,0,0,1,3,3,9,12,6.69456195831299
1299,60,125,44,18,6,12,35,0,0,0,1,1,2,8,8,7.16935014724731
903,40,91,39,12,6,12,36,1,0,0,1,5,4,9,10,6.80572271347046
900,40,86,28,12,17,15,37,1,0,0,1,5,3,8,10,6.80239486694336
625,40,110,32,12,18,0,35,1,0,0,1,4,1,9,8,6.43775177001953
1586,40,92,47,14,16,1,36,1,0,1,1,4,4,12,NA,7.36897039413452
962,40,85,41,10,15,16,38,1,0,0,1,1,2,9,12,6.86901426315308
1539,45,120,36,17,7,8,34,1,0,0,1,1,1,8,8,7.33888816833496
1110,52,106,42,12,11,6,33,1,0,0,0,5,2,12,12,7.01211547851562
1282,45,112,41,16,6,6,31,0,0,1,1,2,2,12,12,7.15617656707764
770,48,91,39,12,13,2,38,1,0,0,1,1,2,10,8,6.64639043807983
1000,45,90,42,12,16,0,38,1,0,0,1,6,3,10,12,6.90775537490845
895,40,86,39,9,17,16,38,1,1,0,0,2,NA,NA,12,6.79682350158691
1205,40,86,32,10,13,0,32,1,1,0,1,5,5,8,NA,7.09423494338989
750,40,113,27,12,11,10,29,1,0,0,0,1,NA,12,12,6.62007331848145
654,50,111,51,13,5,16,38,1,0,0,1,3,3,12,9,6.4831075668335
601,48,111,30,12,15,3,33,1,0,0,1,0,1,12,12,6.39859485626221
600,40,106,32,13,10,11,28,1,0,0,1,6,NA,8,7,6.39692974090576
433,40,98,28,12,11,10,30,0,0,0,1,1,1,12,11,6.07073783874512
1188,40,105,28,12,11,7,30,1,0,0,1,3,1,12,10,7.08002662658691
635,40,105,29,12,15,15,33,1,0,0,0,2,2,10,NA,6.45362520217896
1225,40,118,44,13,9,14,32,1,0,0,1,0,1,12,9,7.11069631576538
1151,45,90,38,12,19,19,36,1,0,0,1,1,1,12,8,7.0483865737915
865,40,95,34,12,15,11,32,0,0,0,1,3,1,9,8,6.76272964477539
1031,40,112,24,14,9,5,29,1,0,0,1,4,2,12,12,6.93828439712524
1049,55,120,39,12,9,11,32,1,0,0,1,3,2,12,10,6.9555926322937
1000,45,123,41,12,12,1,29,1,0,0,1,3,3,12,10,6.90775537490845
1105,40,103,32,13,10,11,30,1,0,0,1,1,1,16,15,7.00760078430176
1924,50,121,40,18,11,7,35,1,0,0,1,3,1,16,18,7.56216144561768
1346,40,90,44,16,9,16,38,1,0,0,1,1,1,12,12,7.20489263534546
809,65,125,32,12,11,10,29,1,0,0,1,0,1,12,12,6.69579887390137
1495,45,109,34,18,10,3,32,1,0,0,1,3,1,9,8,7.30988168716431
1346,50,128,46,16,10,1,33,0,0,0,0,3,1,10,9,7.20489263534546
1200,40,97,35,12,10,4,31,1,0,0,1,3,1,12,12,7.09007692337036
500,40,96,35,12,6,0,33,1,0,1,1,4,4,12,12,6.21460819244385
1325,45,97,44,12,12,5,28,1,0,0,1,1,2,12,8,7.18916797637939
900,40,78,21,12,16,5,33,1,1,0,1,4,1,7,6,6.80239486694336
800,40,112,39,12,15,3,34,1,0,0,1,6,4,7,NA,6.68461179733276
800,40,88,32,12,16,7,38,1,0,0,1,3,2,2,5,6.68461179733276
1034,40,97,39,12,15,16,36,1,0,0,1,14,10,14,11,6.94119024276733
980,40,101,41,12,4,12,36,1,0,0,1,1,NA,6,9,6.8875527381897
884,40,106,42,10,19,12,34,1,0,0,1,2,1,7,10,6.78445720672607
480,40,59,28,10,11,5,34,0,0,0,1,0,1,8,6,6.17378616333008
923,40,105,54,18,7,14,34,1,0,0,1,1,1,12,12,6.82762908935547
513,45,119,30,17,8,5,31,0,0,0,1,1,1,12,8,6.24027585983276
1105,40,93,36,11,17,16,37,0,0,0,1,2,2,8,8,7.00760078430176
1193,50,82,38,12,19,10,36,1,0,1,1,0,1,12,NA,7.08422660827637
2771,50,134,45,18,6,7,34,1,0,0,1,4,3,16,16,7.92696332931519
779,40,84,29,12,9,6,30,1,0,0,1,0,1,8,12,6.65801095962524
950,60,98,36,11,13,6,31,1,0,0,1,2,1,12,12,6.85646200180054
1394,40,118,41,16,11,8,30,1,0,0,0,2,1,13,12,7.23993253707886
1495,45,113,50,17,13,9,33,1,0,0,1,3,3,12,8,7.30988168716431
650,40,100,18,12,4,3,28,1,0,0,1,6,2,9,11,6.47697257995605
670,40,93,27,13,9,5,29,1,0,0,1,2,NA,12,12,6.5072774887085
1126,40,119,30,16,5,8,32,1,0,0,1,1,1,12,10,7.02642679214478
450,64,67,19,12,11,1,33,0,1,0,1,6,1,11,4,6.10924768447876
1028,40,111,28,12,19,12,37,1,1,1,1,3,4,12,NA,6.93537044525146
2404,50,106,38,15,8,0,32,1,0,0,1,2,1,12,12,7.78488922119141
1899,40,127,49,18,9,14,36,0,0,0,1,0,1,10,NA,7.54908275604248
757,40,113,35,16,10,9,33,1,0,0,1,2,1,12,12,6.62936305999756
1250,40,115,36,14,9,1,29,1,0,0,1,2,2,12,12,7.13089895248413
1162,48,102,40,16,8,11,31,1,0,0,1,3,2,12,NA,7.05789804458618
1025,40,85,29,15,9,13,29,1,1,0,1,6,1,14,12,6.93244791030884
1100,50,117,51,16,11,12,32,1,0,0,0,0,1,12,10,7.00306558609009
714,35,125,34,16,7,5,28,1,0,0,1,4,1,10,10,6.57088279724121
1318,35,118,47,16,16,17,37,1,0,0,0,1,1,8,12,7.18387079238892
1411,45,121,40,18,14,3,38,1,0,0,1,3,2,12,16,7.25205373764038
2162,40,115,51,17,4,4,38,1,0,0,1,1,1,12,12,7.67878913879395
1273,55,120,44,14,11,16,36,1,0,0,0,1,1,12,NA,7.14913177490234
1140,48,109,43,12,16,15,35,1,0,0,1,2,2,11,6,7.03878355026245
578,40,109,28,13,7,4,30,0,0,0,1,1,NA,12,11,6.35957384109497
942,40,85,36,12,7,10,38,1,0,0,1,4,5,NA,NA,6.8480052947998
1058,40,85,50,12,17,8,38,1,0,0,0,4,1,12,NA,6.96413564682007
750,40,106,32,14,9,9,29,1,0,0,1,1,2,11,10,6.62007331848145
1000,60,101,30,12,11,6,30,1,0,0,1,3,1,10,10,6.90775537490845
951,60,116,40,12,9,7,30,1,0,0,1,4,5,12,9,6.85751390457153
635,47,91,24,12,13,2,31,1,0,0,1,2,2,7,7,6.45362520217896
1250,40,91,28,12,13,1,34,1,0,0,1,3,1,11,5,7.13089895248413
675,40,110,34,12,6,15,34,1,0,0,1,2,1,7,NA,6.51471281051636
400,40,75,33,12,11,6,32,1,0,0,1,4,NA,7,12,5.99146461486816
577,50,94,17,12,9,8,29,1,0,0,1,2,NA,12,8,6.35784244537354
590,40,109,27,13,10,7,29,1,0,0,0,2,2,12,12,6.38012266159058
923,50,122,38,16,10,10,31,1,0,0,0,1,2,8,8,6.82762908935547
1250,50,102,26,12,6,2,32,0,0,0,1,4,2,11,8,7.13089895248413
1100,40,122,38,14,11,8,33,1,0,0,1,2,3,8,10,7.00306558609009
1130,50,105,38,12,18,2,37,1,0,0,1,4,2,10,10,7.02997303009033
652,50,113,37,12,14,4,36,0,0,0,1,1,2,9,9,6.4800443649292
618,42,104,34,12,6,2,30,1,0,0,1,3,2,8,12,6.42648839950562
962,50,124,43,16,7,14,34,1,0,0,1,2,2,9,11,6.86901426315308
529,40,110,31,13,14,11,32,1,0,0,0,1,1,12,8,6.27098846435547
817,40,95,37,12,16,14,33,1,0,0,0,2,1,12,12,6.70563888549805
962,40,120,39,16,8,9,32,1,0,0,0,0,1,18,NA,6.86901426315308
840,40,105,39,12,19,15,38,1,0,0,0,3,1,12,8,6.73340177536011
866,40,121,30,16,7,4,28,1,0,0,0,1,NA,12,12,6.76388502120972
2404,50,96,42,14,1,1,36,1,0,0,1,5,5,8,10,7.78488922119141
1126,40,110,26,12,16,2,32,1,0,0,1,6,1,9,12,7.02642679214478
1160,40,92,32,12,8,8,31,1,0,0,0,4,1,12,11,7.05617523193359
723,40,98,34,12,15,5,38,1,0,0,1,1,1,9,NA,6.58340930938721
1778,40,109,43,16,14,13,36,1,0,0,1,0,1,11,12,7.4832444190979
1903,48,118,44,18,13,5,36,1,0,0,0,0,1,11,11,7.55118703842163
1010,40,97,42,18,7,14,34,1,0,0,1,4,5,14,NA,6.91770553588867
971,40,95,42,17,5,11,37,1,0,0,1,1,2,16,8,6.87832641601562
525,40,99,40,12,9,2,34,1,0,0,1,2,1,10,8,6.26339817047119
525,40,106,31,12,12,13,30,1,0,0,0,1,1,10,12,6.26339817047119
670,45,117,33,12,10,3,30,1,0,0,0,5,2,12,NA,6.5072774887085
500,45,90,47,12,19,4,37,1,0,0,0,0,1,12,6,6.21460819244385
1058,45,98,45,14,14,15,34,1,0,0,0,2,3,NA,NA,6.96413564682007
550,46,95,44,12,18,15,35,1,0,0,1,1,1,12,11,6.30991840362549
500,45,115,43,12,14,1,32,1,0,0,1,1,2,12,11,6.21460819244385
727,55,106,40,15,10,5,31,0,0,0,1,1,NA,12,12,6.58892631530762
865,40,114,26,12,6,8,30,1,0,0,0,2,3,8,8,6.76272964477539
1081,40,92,34,13,8,2,30,1,0,1,1,3,4,12,10,6.98564195632935
1304,45,119,36,17,9,9,31,1,0,0,0,1,1,13,12,7.1731915473938
575,40,85,32,13,6,1,30,1,0,0,0,1,2,13,12,6.3543701171875
623,45,98,34,16,7,1,30,1,0,0,0,3,1,12,12,6.43454647064209
515,45,114,30,13,8,10,28,1,0,0,0,3,2,12,12,6.2441668510437
1273,55,84,42,18,14,4,37,1,0,0,1,1,1,8,12,7.14913177490234
990,40,108,42,13,13,9,33,1,0,0,0,4,1,16,16,6.897705078125
600,40,107,32,12,16,6,33,1,0,0,0,5,6,8,4,6.39692974090576
1160,40,84,35,12,17,2,38,1,0,0,0,4,2,16,12,7.05617523193359
500,55,86,22,12,11,9,29,1,0,0,0,5,5,10,12,6.21460819244385
795,45,88,27,12,17,18,35,1,0,0,0,2,2,10,12,6.67834234237671
500,50,97,34,11,20,3,37,1,0,0,0,2,1,NA,NA,6.21460819244385
740,50,84,31,10,23,13,38,1,0,0,0,5,1,NA,9,6.60665035247803
1250,40,117,45,16,10,7,33,1,0,0,1,1,1,12,14,7.13089895248413
1014,55,110,42,16,13,9,30,0,0,0,1,1,2,12,14,6.92165803909302
1250,32,104,32,13,13,3,33,1,0,0,1,3,3,9,NA,7.13089895248413
913,40,110,26,14,4,13,29,1,0,0,1,3,4,9,NA,6.81673574447632
1346,40,99,33,16,9,8,30,1,0,0,1,2,NA,11,12,7.20489263534546
445,40,80,31,10,19,0,38,1,0,0,0,5,5,NA,NA,6.09807443618774
265,40,101,43,12,18,2,37,1,0,0,1,1,2,NA,NA,5.57973003387451
1250,40,117,31,14,7,1,28,1,0,0,1,1,2,12,12,7.13089895248413
1607,56,108,41,13,7,9,36,1,0,0,1,2,1,NA,NA,7.38212442398071
1452,35,69,33,16,12,15,38,1,1,0,1,7,6,10,10,7.28069734573364
1391,50,109,38,12,14,8,32,1,1,1,1,1,2,11,9,7.2377781867981
821,45,85,39,16,8,2,32,1,0,0,1,5,6,8,8,6.71052312850952
794,40,114,36,16,9,7,29,1,0,0,1,1,2,11,9,6.67708349227905
500,30,90,46,13,10,1,38,1,0,0,0,4,3,NA,NA,6.21460819244385
520,50,107,30,18,6,3,29,1,0,0,0,10,1,12,14,6.25382900238037
1730,50,117,41,18,12,12,37,1,0,0,1,1,2,12,8,7.45587682723999
1924,50,112,47,18,9,10,38,1,0,0,1,6,1,16,18,7.56216144561768
1155,60,106,46,18,10,2,37,1,0,0,1,3,3,14,18,7.05185556411743
2162,40,116,38,15,9,4,31,1,0,0,1,2,1,12,17,7.67878913879395
923,50,123,44,14,8,7,31,1,0,0,1,1,2,8,NA,6.82762908935547
1115,40,118,40,16,12,13,33,1,0,0,1,1,1,8,NA,7.01660966873169
449,36,91,20,12,7,2,30,0,0,0,1,1,NA,NA,NA,6.10702276229858
1500,40,103,29,12,10,11,34,1,0,0,1,2,3,12,7,7.31322050094604
826,40,114,40,14,20,3,37,1,0,0,1,4,4,8,6,6.71659469604492
937,40,102,36,12,16,8,35,1,0,0,1,3,2,12,6,6.8426833152771
978,48,104,36,12,19,15,36,1,0,0,1,5,6,6,NA,6.8855094909668
1031,40,112,43,14,14,12,33,0,0,0,1,6,6,14,12,6.93828439712524
1272,40,107,39,12,10,1,30,1,0,0,1,4,3,12,12,7.14834594726562
1136,50,117,36,14,16,12,34,1,0,1,1,2,3,12,12,7.03526878356934
800,45,110,36,12,19,12,36,1,0,0,1,7,8,NA,NA,6.68461179733276
1339,38,96,42,12,8,9,33,1,0,0,1,0,1,12,11,7.19967842102051
1063,40,90,38,12,14,12,32,1,1,0,1,2,2,8,12,6.96885061264038
935,44,97,27,12,10,6,29,1,0,0,1,2,2,8,7,6.84054660797119
808,40,99,40,12,18,13,38,1,1,0,1,0,1,9,8,6.69456195831299
375,40,99,29,10,12,2,30,1,0,1,0,3,2,8,5,5.92692613601685
537,40,97,32,12,14,8,31,0,1,0,1,2,1,11,NA,6.28599786758423
1082,55,95,40,12,11,4,29,1,1,0,1,2,2,11,NA,6.9865665435791
930,40,126,44,14,10,1,31,0,0,0,1,3,NA,8,NA,6.8351845741272
1155,40,109,49,17,13,4,38,1,0,0,0,3,3,12,8,7.05185556411743
548,40,86,22,11,7,0,33,1,1,0,1,5,2,11,NA,6.30627536773682
622,45,119,48,16,12,1,33,1,0,0,1,0,1,12,12,6.4329400062561
841,40,102,38,16,10,1,29,1,0,0,1,3,1,12,12,6.73459148406982
769,55,105,45,18,7,15,38,0,0,0,1,2,3,9,5,6.64509105682373
587,38,117,40,17,8,5,29,1,0,0,0,3,3,12,NA,6.37502479553223
1924,45,112,40,16,17,18,38,1,0,0,1,1,1,12,12,7.56216144561768
1058,40,89,28,12,7,3,29,1,0,0,1,2,NA,8,6,6.96413564682007
417,48,131,39,12,7,1,28,0,0,0,1,1,2,12,6,6.03308629989624
1202,48,114,28,16,6,6,28,1,0,0,1,3,3,16,16,7.09174203872681
1154,40,98,35,14,18,2,37,1,0,0,1,1,NA,10,14,7.05098962783813
1070,40,124,41,13,4,9,32,1,0,0,1,0,1,NA,NA,6.97541379928589
1202,40,125,30,14,10,11,29,1,0,0,1,2,3,12,12,7.09174203872681
711,45,100,38,18,13,3,36,1,0,0,1,1,NA,10,16,6.56667232513428
1202,40,84,21,14,6,5,31,1,1,0,1,2,1,11,9,7.09174203872681
850,43,113,26,12,7,3,28,1,0,0,1,1,2,8,12,6.74523639678955
1000,40,102,46,16,13,11,35,1,0,0,1,6,2,10,12,6.90775537490845
490,49,82,33,18,7,8,31,0,0,0,1,2,NA,12,9,6.1944055557251
1000,40,112,47,14,15,4,35,1,0,0,1,4,1,12,10,6.90775537490845
865,40,111,38,16,11,4,31,1,0,1,1,4,5,8,5,6.76272964477539
1375,40,96,24,13,3,3,30,1,0,0,1,3,1,11,8,7.22620916366577
1586,40,127,48,16,16,12,37,1,0,0,1,4,4,16,16,7.36897039413452
1602,65,97,47,15,14,14,37,1,0,0,1,1,1,8,NA,7.37900829315186
3078,65,120,50,14,12,13,36,1,0,1,1,1,2,12,NA,8.0320348739624
898,40,101,41,16,7,9,35,0,0,0,1,3,4,16,14,6.80016994476318
906,40,120,40,14,16,2,37,1,0,0,1,5,1,12,12,6.80903911590576
952,40,99,34,13,10,10,31,1,1,0,1,1,1,8,10,6.85856485366821
571,40,78,33,13,10,1,29,0,1,0,1,5,5,8,9,6.34738922119141
445,45,110,23,12,15,13,32,0,0,0,1,2,2,5,11,6.09807443618774
289,40,94,35,12,9,0,30,1,0,0,1,2,3,5,11,5.66642665863037
1444,40,120,50,16,12,15,37,1,0,0,1,1,2,17,13,7.27517223358154
962,55,108,45,12,19,21,36,1,0,0,1,3,1,8,8,6.86901426315308
1075,40,103,31,12,17,10,33,1,0,0,1,13,3,11,11,6.98007583618164
909,55,97,39,11,17,5,35,1,0,0,1,7,3,NA,NA,6.81234502792358
1250,40,106,36,12,14,19,35,1,0,0,1,4,1,11,13,7.13089895248413
620,40,99,22,11,10,5,29,1,1,0,1,11,5,NA,NA,6.4297194480896
1016,40,72,18,10,14,15,37,1,1,0,1,8,9,11,NA,6.92362880706787
800,40,88,29,10,21,14,37,1,1,0,1,8,1,11,8,6.68461179733276
1050,40,119,37,16,7,18,37,0,0,0,1,2,2,12,13,6.95654535293579
1079,50,87,33,12,18,9,36,1,0,0,1,5,5,8,NA,6.98378992080688
654,50,121,49,17,12,13,34,1,0,0,1,1,2,11,12,6.4831075668335
781,50,112,33,12,8,10,30,1,0,0,1,2,2,12,8,6.6605749130249
1038,48,103,36,15,8,2,36,1,0,1,0,2,1,12,15,6.9450511932373
1924,50,99,48,16,16,14,37,1,0,0,1,0,1,16,18,7.56216144561768
1202,40,101,40,15,15,17,37,1,0,0,1,3,2,12,12,7.09174203872681
666,70,117,34,15,8,2,32,1,0,0,1,0,1,NA,NA,6.50128984451294
905,45,109,41,14,11,14,36,1,0,0,1,3,4,8,8,6.80793476104736
